Customer Name,Vehicle Identification Number,MODEL,COMMERCIAL MODEL,Internal Vehicle Number,WHEELS AND TIRES,Primary Status,Primary Status,Date of Primary Status,Time of Primary Status,Location,Vehicle Search Area,Plant,Storage Location,Veh. Srch Area,TIRE OPTIONS,Char. 5,Characteristic 6,Vehicle Usage
TITAN MACHINERY INC.,NBM426575,,SR150,0011637226,,Delivered to Destination,ZT56,2/27/13,11:18:00 AM,TUCSON,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (59 OTW),,,Retail
TITAN MACHINERY INC.,NBM424887,,SR130,0011637655,,Delivered to Destination,ZT56,2/27/13,11:17:38 AM,TUCSON,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Premium (59 OTW),,,Premier Rental DRY
"BROOKINGS EQUIPMENT, INC.",NBM429100,,SV185,0011636615,,Delivered to Destination,ZT56,2/25/13,9:18:32 AM,BROOKINGS,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
BOB MARK NEW HOLLAND SALES LIMITED,NBM439370,,L215,0011631924,,Delivered to Destination,ZT56,3/14/13,10:18:01 AM,CAMPBELLFORD,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Premium (59 OTW),,,Retail
BOB MARK NEW HOLLAND SALES LIMITED,NBM439440,,L215,0011631920,,Delivered to Destination,ZT56,3/1/13,3:18:24 PM,LINDSAY,NA NH,WI01,WI01,NA NH AGCE,27x10.5-15 Premium (64 OTW),,,Retail
DAVID L & DENNIS D MEYER,NBM426597,,SR150,0011640304,,Delivered to Destination,ZT56,3/6/13,1:18:25 PM,Ridgeville Corners,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (59 OTW),,,Premier Rental DRY
"KRYSTOWSKI TRACTOR SALES, INC.",NBM438301,,L218,0011632619,,Delivered to Destination,ZT56,3/29/13,8:28:31 AM,WELLINGTON,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
"HOOBER, INC.",NBM428249,,SR175,0011650614,,Delivered to Destination,ZT56,,12:00:00 AM,CHAMBERSBURG,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
SIGDOTEK S.A.,NDM448819,,L218-NA,0011936991,,Export Vessel Sailed,ZT72,2/13/13,10:40:32 AM,IN TRANSIT,ROME NH L,WI01,WI01,LOC ROME NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
TITAN MACHINERY INC.,NBM438160,,L218,0011655984,,Delivered to Destination,ZT56,2/27/13,4:48:12 PM,SIOUX FALLS,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
"ADKINS EQUIPMENT, INC.",NBM437438,,L218,0011645698,,Delivered to Destination,ZT56,1/21/13,11:17:58 AM,DETROIT LAKES,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Premium (64 OTW),,,Retail
SIGDOTEK S.A.,NDM448818,,L218-NA,0011936992,,Export Vessel Sailed,ZT72,2/13/13,10:40:45 AM,IN TRANSIT,ROME NH L,WI01,WI01,LOC ROME NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
