Customer Name,Vehicle Identification Number,MODEL,COMMERCIAL MODEL,Internal Vehicle Number,WHEELS AND TIRES,Primary Status,Primary Status,Date of Primary Status,Time of Primary Status,Location,Vehicle Search Area,Plant,Storage Location,Veh. Srch Area,TIRE OPTIONS,Char. 5,Characteristic 6,Vehicle Usage
"WINDRIDGE IMPLEMENTS, L.L.C.",NDM469182,SV250,SV250-T4A,0011968806,,Delivered to Destination,ZT56,5/22/13,7:32:51 AM,ELKADER,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
CASE CONSTRUCTION MACHINERY (SHANGH,NDM457716,SR220,SR220-NR,0011918750,,Export Vessel Sailed,ZT72,5/2/13,8:37:24 AM,IN TRANSIT,CHINA CS,WI01,WI01,CHINA CASE/CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
"LARSON IMPLEMENT, INC.",NDM477805,SR150/SR160,SR160-T4 FINAL,0011968813,,Delivered to Destination,ZT56,6/10/13,6:41:26 AM,NORTHFIELD,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Premium (59 OTW),,,Matured Financing
"BRUNA BROTHERS IMPLEMENT, LLC",NDM469245,SV250,SV250-T4A,0011991123,,Delivered to Destination,ZT56,5/28/13,1:28:07 PM,CLAY CENTER,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"WINDRIDGE IMPLEMENTS, L.L.C.",NDM460059,SV300,SV300-T4A,0011968816,,Delivered to Destination,ZT56,5/16/13,12:21:48 PM,CRESCO,NA CASE,WI01,WI01,NA CASE / CASE IH,14x17.5 Premium (76 OTW),,,Retail
"CNY POWER SPORTS, LLC",NDM474747,L220,L220-T4B,0011979411,,Delivered to Destination,ZT56,6/27/13,12:23:20 PM,CORTLAND,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium (70 OTW),,,Retail
MILLER SELLNER IMPLEMENT INC,NCM443041,SR250,SR250-T4A,0011924821,,Delivered to Destination,ZT56,4/26/13,7:09:40 AM,SLEEPY EYE,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"ABILENE NEW HOLLAND, L.C.",NCM450198,L230,L230-T4A,0011927182,,Delivered to Destination,ZT56,4/17/13,10:26:09 AM,ABILENE,NA NH,WI01,WI01,NA NH AGCE,14x17.5 Premium (76 OTW),,,Retail
"HENDERSHOT EQUIPMENT CO., INC.",NCM445612,SV300,SV300-T4A,0011927700,,Delivered to Destination,ZT56,5/7/13,12:18:40 PM,DECATUR,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
ED STEWART'S GARAGE & EQUIPMENT LTD,NCM445613,SV300,SV300-T4 INTERIM,0011927701,,Outbound Delivery Shipped,ZT54,4/24/13,1:20:46 PM,IN TRANSIT,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Premier Rental DRY
"ASSOCIATED SUPPLY COMPANY, INC.",NCM445614,SV300,SV300-T4A,0011927702,,Delivered to Destination,ZT56,6/20/13,7:50:00 AM,AMARILLO,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
CHARLES RICHARDS & SONS LIMITED,NCM445615,SV300,SV300-T4A,0011927703,,Delivered to Destination,ZT56,5/3/13,9:25:57 AM,STOUFFVILLE,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"ASSOCIATED SUPPLY COMPANY, INC.",NCM445616,SV300,SV300-T4 INTERIM,0011927704,,Delivered to Destination,ZT56,6/27/13,10:33:40 AM,AMARILLO,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"HENDERSHOT EQUIPMENT CO., INC.",NCM445607,SV300,SV300-T4A,0011927708,,Delivered to Destination,ZT56,4/25/13,10:44:45 AM,STEPHENVILLE,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"JIM HOFFPAUIR, INC.",NDM461101,L225,L225-T4A,0011927878,,Delivered to Destination,ZT56,4/9/13,3:23:56 PM,GOLDTHWAITE,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
HEHLI-VOLD CORPORATION,NDM461242,L225,L225-T4A,0011928800,,Delivered to Destination,ZT56,5/15/13,5:18:24 PM,BALDWIN,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
TITAN MACHINERY INC.,NDM466584,SV185,SV185-T4 FINAL,0011977793,,Delivered to Destination,ZT56,6/4/13,3:03:00 PM,RAPID CITY,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"PREMIER EQUIPMENT, LLC",NDM461207,L225,L225-T4A,0011929194,,Delivered to Destination,ZT56,4/3/13,2:04:31 PM,EUREKA,NA NH,WI01,WI01,NA NH AGCE,14x17.5 Premium (76 OTW),,,Retail
HI-WAY EQUIPMENT COMPANY LLC,NCM445652,SV300,SV300-T4A,0011929448,,Delivered to Destination,ZT56,4/23/13,8:25:45 AM,EULESS,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
Trico Equipment Services LLC,NCM445644,SV300,SV300-T4 INTERIM,0011929449,,Delivered to Destination,ZT56,6/13/14,10:42:36 AM,TOTOWA,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
"MONROE TRACTOR & IMPLEMENT CO., INC",NCM445643,SV300,SV300-T4A,0011929450,,Delivered to Destination,ZT56,5/6/13,10:00:59 AM,BINGHAMTON,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
"ASSOCIATED SUPPLY COMPANY, INC.",NCM445645,SV300,SV300-T4A,0011929451,,Delivered to Destination,ZT56,6/20/13,9:58:33 AM,EULESS,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
"ASSOCIATED SUPPLY COMPANY, INC.",NCM445647,SV300,SV300-T4A,0011929452,,Delivered to Destination,ZT56,6/20/13,12:27:01 PM,EULESS,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
"ASSOCIATED SUPPLY COMPANY, INC.",NCM445646,SV300,SV300-T4A,0011929453,,Delivered to Destination,ZT56,6/27/13,11:51:29 AM,EULESS,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
TITAN MACHINERY INC.,NCM445648,SV300,SV300-T4A,0011929454,,Delivered to Destination,ZT56,5/8/13,12:19:08 PM,DAVENPORT,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
SOUTHEASTERN FARM EQUIPMENT LTD.,NDM477928,L215/L216,L216-T4B,0011968836,,Delivered to Destination,ZT56,6/4/13,3:52:40 PM,STEINBACH,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Premium (59 OTW),,,Matured Financing
"BEAUREGARD EQUIPMENT, INC.",NDM443234,SR250,SR250-T4 INTERIM,0011930666,,Delivered to Destination,ZT56,5/3/13,9:57:21 AM,CONCORD,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Matured Financing
"BEAUREGARD EQUIPMENT, INC.",NDM443227,SR250,SR250-T4A,0011930700,,Delivered to Destination,ZT56,5/31/13,8:06:10 AM,COLCHESTER,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
"BEAUREGARD EQUIPMENT, INC.",NDM469231,SV250,SV250-T4A,0011930733,,Delivered to Destination,ZT56,5/28/13,4:22:45 PM,HERMON,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
"BEAUREGARD EQUIPMENT, INC.",NDM469230,SV250,SV250-T4 INTERIM,0011930786,,Delivered to Destination,ZT56,5/20/13,11:38:38 AM,CONCORD,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
"B & G EQUIPMENT, INC.",NDM473050,L225,L225-T4A,0011931048,,Delivered to Destination,ZT56,5/1/13,12:42:54 PM,GREELEY,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium (70 OTW),,,Retail
"SMITH TRACTOR & EQUIPMENT, INC.",NDM461223,L225,L225-T4A,0011931243,,Delivered to Destination,ZT56,6/18/13,4:21:12 PM,WASHINGTON,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"W.G. LEFFELMAN & SONS, INC.",NDM460118,SV300,SV300-T4A,0011985539,,Delivered to Destination,ZT56,6/4/13,6:57:30 PM,AMBOY,NA CASE,WI01,WI01,NA CASE / CASE IH,33X15.5 Flotation (76 OTW),,,Retail
"TRIEBOLD IMPLEMENT, INC.",NDM461259,L225,L225-T4A,0011932236,,Delivered to Destination,ZT56,6/17/13,5:20:09 PM,WHITEWATER,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
MESSICK FARM EQUIPMENT INC.,NDM461268,L225,L225-T4A,0011932557,,Delivered to Destination,ZT56,4/3/13,1:37:43 PM,ABBOTTSTOWN,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium (70 OTW),,,Retail
"AG-INDUSTRIAL, INC.",NDM461255,L225,L225-T4A,0011932759,,Delivered to Destination,ZT56,5/13/13,9:19:25 AM,NEW HOLLAND,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"MARTIN IMPLEMENT SALES, INC.",NDM461340,L225,L225-T4A,0011932943,,Delivered to Destination,ZT56,4/15/13,9:19:08 AM,ORLAND PARK,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Severe Duty (70 OTW),,,Retail
"BAUMLER IMPLEMENTS, INC.",NDM461241,L225,L225-T4A,0011932960,,Delivered to Destination,ZT56,6/5/13,8:18:31 AM,WEST UNION,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"MILWAUKEE TRACTOR & EQUIPMENT, INC.",NDM473064,L225,L225-T4A,0011933001,,Delivered to Destination,ZT56,5/8/13,11:09:28 AM,MILWAUKEE,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium (70 OTW),,,Retail
"ARNOLD'S OF MANKATO, INC.",NDM477808,SR150/SR160,SR160-T4 FINAL,0011970067,,Delivered to Destination,ZT56,6/10/13,2:08:21 PM,NORTH MANKATO,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (59 OTW),,,Retail
Trico Equipment Services LLC,NDM445668,SV300,SV300-T4 INTERIM,0011933796,,Delivered to Destination,ZT56,4/5/13,8:05:59 AM,VINELAND,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Severe Duty (70 OTW),,,Retail
Trico Equipment Services LLC,NDM445722,SV300,SV300-T4 INTERIM,0011933797,,Delivered to Destination,ZT56,5/10/13,7:51:55 AM,VINELAND,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Severe Duty (70 OTW),,,Retail
TECHNOGROUP LLC,NDM460798,SV250,SV250-NR,0011933844,,Export Vessel Sailed,ZT72,5/2/13,6:14:38 PM,IN TRANSIT,RUSSIA CSL,WI01,WI01,RUSSIA CASE/CASE IH LOC,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
ACTIO RUS OOO,NDM460799,SV250,SV250-NR,0011933845,,Export Vessel Sailed,ZT72,5/22/13,9:53:32 AM,IN TRANSIT,RUSSIA CSL,WI01,WI01,RUSSIA CASE/CASE IH LOC,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
"CHAMBERS TRACTOR SALES, INC.",NDM461194,L225,L225-T4A,0011934131,,Delivered to Destination,ZT56,4/11/13,4:18:40 PM,MONTGOMERY,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium (70 OTW),,,Retail
"SUNBELT RENTALS, INC",NDM445737,SV300,SV300-T4A,0011934166,,Delivered to Destination,ZT56,4/20/13,5:40:45 PM,SHREWSBURY,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
"SMITH TRACTOR & EQUIPMENT, INC.",NDM461347,L225,L225-T4A,0011934173,,Delivered to Destination,ZT56,5/2/13,10:51:04 AM,WASHINGTON,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"SERVICE MOTOR COMPANY, INC.",NDM445725,SV300,SV300-T4A,0011934353,,Outbound Delivery Shipped,ZT54,4/1/13,12:52:00 PM,IN TRANSIT,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
ST. JOSEPH EQUIPMENT INC.,NDM461279,L225,L225-T4A,0011934485,,Delivered to Destination,ZT56,5/13/13,2:22:03 PM,LA CROSSE,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NDM473055,L225,L225-T4A,0011934548,,Delivered to Destination,ZT56,4/29/13,1:26:09 PM,RED DEER COUNTY,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
COLEMAN EQUIPMENT INC.,NDM473056,L225,L225-T4A,0011934555,,Outbound Delivery Shipped,ZT54,11/5/13,4:20:44 PM,IN TRANSIT,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium (70 OTW),,,Retail
GALER FARM EQUIPMENT LIMITED,NDM445738,SV300,SV300-T4A,0011934560,,Delivered to Destination,ZT56,4/22/13,11:25:39 AM,DUNDAS,NA CASE,WI01,WI01,NA CASE / CASE IH,14x17.5 Premium (76 OTW),,,Retail
"KANEQUIP, INC.",NDM473058,L225,L225-T4A,0011935518,,Delivered to Destination,ZT56,4/25/13,7:57:06 AM,WAMEGO,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Severe Duty (70 OTW),,,Retail
WEBB'S MACHINERY (VERMILION) LTD.,NCM450226,L230,L230-T4A,0011935522,,Delivered to Destination,ZT56,12/2/13,11:13:47 AM,VERMILION,NA NH,WI01,WI01,NA NH AGCE,14x17.5 Premium (76 OTW),,,Retail
REDHEAD EQUIPMENT LTD.,NDM443081,SR250,SR250-T4 INTERIM,0011935608,,Delivered to Destination,ZT56,4/26/13,9:26:06 AM,SASKATOON,NA CASE,WI01,WI01,NA CASE / CASE IH,14x17.5 Premium (76 OTW),,,Premier Rental DRY
REDHEAD EQUIPMENT LTD.,NDM443084,SR250,SR250-T4 INTERIM,0011935610,,Delivered to Destination,ZT56,5/2/13,6:51:58 PM,SASKATOON,NA CASE,WI01,WI01,NA CASE / CASE IH,14x17.5 Premium (76 OTW),,,Premier Rental DRY
"KROMMINGA MOTORS, INC.",NDM473066,L225,L225-T4A,0011935690,,Delivered to Destination,ZT56,5/7/13,5:28:12 PM,MONTICELLO,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Severe Duty (70 OTW),,,Retail
"KROMMINGA MOTORS, INC.",NDM473132,L225,L225-T4A,0011935691,,Delivered to Destination,ZT56,5/9/13,1:45:16 PM,MONTICELLO,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Severe Duty (70 OTW),,,Retail
"AG-INDUSTRIAL, INC.",NDM459004,L213,L213-T4B,0011976336,,Delivered to Destination,ZT56,6/6/13,6:50:30 AM,NEW HOLLAND,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
"WAUPUN EQUIP. CO., INC.",NDM449347,L218,L218-T4B,0011968838,,Delivered to Destination,ZT56,6/11/13,3:06:56 PM,WAUPUN,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
HEHLI-VOLD CORPORATION,NCM472122,L230,L230-T4A,0011937408,,Delivered to Destination,ZT56,4/11/13,11:22:11 AM,MENOMONIE,NA NH,WI01,WI01,NA NH AGCE,14x17.5 Premium (76 OTW),,,Retail
H.J. REIS INTERNATIONAL LTD.,NDM473068,L225,L225-T4A,0011937464,,Outbound Delivery Shipped,ZT54,5/24/13,9:34:07 AM,IN TRANSIT,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium-Liner (70 OTW),,,Matured Financing
ROBERT'S FARM EQUIPMENT SALES INC.,NDM473069,L225,L225-T4A,0011937519,,Delivered to Destination,ZT56,5/2/13,6:52:30 PM,CHESLEY,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
GREAT LAKES NEW HOLLAND INC.,NDM473104,L225,L225-T4A,0011938122,,Delivered to Destination,ZT56,6/18/13,9:19:26 AM,MITCHELL,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"Tractors, Inc.",NDM461229,L225,L225-T4A,0011938162,,Delivered to Destination,ZT56,6/20/13,4:18:44 PM,CARTERSVILLE,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium (70 OTW),,,Retail
"BARIBEAU IMPLEMENT COMPANY, INC.",NDM473057,L225,L225-T4A,0011938770,,Delivered to Destination,ZT56,4/29/13,9:18:19 PM,SAINT CROIX FALLS,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
TITAN MACHINERY INC.,NDM473125,L225,L225-T4A,0011938821,,Delivered to Destination,ZT56,5/9/13,7:40:20 AM,ROSEMOUNT,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Severe Duty (70 OTW),,,Retail
"SOUTHEASTERN EQUIPMENT CO., INC.",NDM445727,SV300,SV300-T4 INTERIM,0011939046,,Outbound Delivery Shipped,ZT54,5/29/13,10:18:54 AM,HEATH,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Premier Rental DRY
"BAXLA TRACTOR SALES OF FAYETTE, INC",NDM461228,L225,L225-T4A,0011939050,,Delivered to Destination,ZT56,4/15/13,2:18:49 PM,WASHINGTON COURT HOUSE,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
MAQUINARIAS S.A.,NDM457578,SR220,SR220NR CASE,0011944069,,Export Vessel Sailed,ZT72,8/13/13,10:36:52 AM,IN TRANSIT,NOLA CASE,WI01,WI01,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
MAQUINARIAS S.A.,NDM457580,SR220,SR220NR CASE,0011944070,,Export Vessel Sailed,ZT72,8/13/13,11:00:27 AM,IN TRANSIT,NOLA CASE,WI01,WI01,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
MAQUINARIAS S.A.,NDM457595,SR220,SR220NR CASE,0011944074,,Export Vessel Sailed,ZT72,8/13/13,10:58:20 AM,IN TRANSIT,NOLA CASE,WI01,WI01,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
MAQUINARIAS S.A.,NDM457592,SR220,SR220NR CASE,0011944075,,Export Vessel Sailed,ZT72,8/13/13,10:58:57 AM,IN TRANSIT,NOLA CASE,WI01,WI01,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
MAQUINARIAS S.A.,NDM457594,SR220,SR220NR CASE,0011944076,,Export Vessel Sailed,ZT72,8/13/13,10:58:33 AM,IN TRANSIT,NOLA CASE,WI01,WI01,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
MAQUINARIAS S.A.,NDM457584,SR220,SR220NR CASE,0011944077,,Export Vessel Sailed,ZT72,8/13/13,10:59:48 AM,IN TRANSIT,NOLA CASE,WI01,WI01,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
MAQUINARIAS S.A.,NDM457585,SR220,SR220NR CASE,0011944078,,Export Vessel Sailed,ZT72,8/13/13,10:59:36 AM,IN TRANSIT,NOLA CASE,WI01,WI01,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
MAQUINARIAS S.A.,NDM457590,SR220,SR220NR CASE,0011944079,,Export Vessel Sailed,ZT72,8/13/13,10:59:10 AM,IN TRANSIT,NOLA CASE,WI01,WI01,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
MAQUINARIAS S.A.,NDM457587,SR220,SR220NR CASE,0011944080,,Export Vessel Sailed,ZT72,8/13/13,10:59:23 AM,IN TRANSIT,NOLA CASE,WI01,WI01,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
NAVITRANS S.A.,NDM443066,SR250,,0011944087,,Export Vessel Sailed,ZT72,5/6/13,12:13:23 PM,IN TRANSIT,NOLA CASE,L183,U030,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
NAVITRANS S.A.,NDM443072,SR250,,0011944093,,Export Vessel Sailed,ZT72,5/6/13,12:13:13 PM,IN TRANSIT,NOLA CASE,L183,U030,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
NAVITRANS S.A.,NDM443074,SR250,,0011944095,,Export Vessel Sailed,ZT72,5/6/13,12:13:02 PM,IN TRANSIT,NOLA CASE,L183,U030,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
MAQUINARIAS S.A.,NDM457582,SR220,SR220NR CASE,0011944071,,Export Vessel Sailed,ZT72,8/13/13,11:00:13 AM,IN TRANSIT,NOLA CASE,WI01,WI01,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
MAQUINARIAS S.A.,NDM457583,SR220,SR220NR CASE,0011944072,,Export Vessel Sailed,ZT72,8/13/13,11:00:00 AM,IN TRANSIT,NOLA CASE,WI01,WI01,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
MAQUINARIAS S.A.,NDM457593,SR220,SR220NR CASE,0011944073,,Export Vessel Sailed,ZT72,8/13/13,10:58:44 AM,IN TRANSIT,NOLA CASE,WI01,WI01,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
CNH INDUSTRIAL LATIN AMERICA LTDA,NDM445676,SV300,SV300NR CASE,0011944104,,Export Vessel Sailed,ZT72,5/22/13,2:16:35 PM,IN TRANSIT,BRZ CASE,WI01,WI01,BRAZIL CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
"WINDRIDGE IMPLEMENTS, L.L.C.",NDM460050,SV300,SV300-T4A,0011970073,,Delivered to Destination,ZT56,4/17/13,2:28:51 PM,CRESCO,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
"BOOTH MACHINERY SALES, INC.",NDM474746,L220,L220-T4B,0011998836,,Delivered to Destination,ZT56,6/19/13,1:55:46 PM,CRAWFORDSVILLE,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"WAUPUN EQUIP. CO., INC.",NDM456692,L220,L220-T4B,0011968849,,Delivered to Destination,ZT56,6/4/13,9:19:27 AM,WATERTOWN,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"EQUIPMENT DEPOT, LTD.",NDM461284,L225,L225-T4A,0011944318,,Delivered to Destination,ZT56,5/14/13,9:19:18 AM,PFLUGERVILLE,NA NH,WI01,WI01,NA NH AGCE,14x17.5 Premium (76 OTW),,,Retail
"SWIDERSKI EQUIPMENT, INC.",NDM474752,L220,L220-T4B,0012004300,,Delivered to Destination,ZT56,1/14/14,12:11:18 PM,THORP,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium (70 OTW),,,Matured Financing
"SWIDERSKI EQUIPMENT, INC.",NDM474756,L220,L220-T4B,0012004303,,Delivered to Destination,ZT56,6/19/13,2:26:17 PM,THORP,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium (70 OTW),,,Retail
"WAUPUN EQUIP. CO., INC.",NDM474677,L220,L220-T4B,0011968850,,Delivered to Destination,ZT56,6/3/13,3:26:35 PM,WAUPUN,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
TECHNOGROUP LLC,NDM445736,SV300,SV300-NR,0011945480,,Export Vessel Sailed,ZT72,5/2/13,6:14:50 PM,IN TRANSIT,RUSSIA CSL,WI01,WI01,RUSSIA CASE/CASE IH LOC,33X15.5 Flotation (76 OTW),,,Dealer Inventory
ACTIO RUS OOO,NDM445703,SV300,SV300-NR,0011945488,,Export Vessel Sailed,ZT72,5/22/13,9:57:38 AM,IN TRANSIT,RUSSIA CSL,WI01,WI01,RUSSIA CASE/CASE IH LOC,33X15.5 Flotation (76 OTW),,,Dealer Inventory
ACTIO RUS OOO,NDM445704,SV300,SV300-NR,0011945491,,Export Vessel Sailed,ZT72,5/22/13,9:57:27 AM,IN TRANSIT,RUSSIA CSL,WI01,WI01,RUSSIA CASE/CASE IH LOC,33X15.5 Flotation (76 OTW),,,Dealer Inventory
LLC COMPANY SIM-AUTO,NDM445705,SV300,SV300-NR,0011945492,,Export Vessel Sailed,ZT72,5/29/13,12:11:16 AM,IN TRANSIT,RUSSIA CSL,WI01,WI01,RUSSIA CASE/CASE IH LOC,33X15.5 Flotation (76 OTW),,,Dealer Inventory
TECHNOGROUP LLC,NDM445706,SV300,SV300-NR,0011945493,,Export Vessel Sailed,ZT72,5/2/13,6:15:02 PM,IN TRANSIT,RUSSIA CSL,WI01,WI01,RUSSIA CASE/CASE IH LOC,33X15.5 Flotation (76 OTW),,,Dealer Inventory
"SWIDERSKI EQUIPMENT, INC.",NDM474758,L220,L220-T4B,0012004304,,Delivered to Destination,ZT56,1/14/14,12:09:32 PM,THORP,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium (70 OTW),,,Retail
CASE CONSTRUCTION MACHINERY (SHANGH,NDM465685,SR175,SR175-NR,0011945754,,Export Vessel Sailed,ZT72,7/5/13,3:13:33 PM,IN TRANSIT,CHINA CS,WI01,WI01,CHINA CASE/CASE IH,10x16.5 Heavy Duty (64 OTW),,,Dealer Inventory
CASE CONSTRUCTION MACHINERY (SHANGH,NDM465701,SR175,SR175-NR,0011945755,,Export Vessel Sailed,ZT72,7/5/13,3:13:22 PM,IN TRANSIT,CHINA CS,WI01,WI01,CHINA CASE/CASE IH,10x16.5 Heavy Duty (64 OTW),,,Dealer Inventory
CASE CONSTRUCTION MACHINERY (SHANGH,NDM457717,SR220,SR220-NR,0011945758,,Export Vessel Sailed,ZT72,5/2/13,8:37:12 AM,IN TRANSIT,CHINA CS,WI01,WI01,CHINA CASE/CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
CASE CONSTRUCTION MACHINERY (SHANGH,NDM461532,SR220,SR220-NR,0011945759,,Export Vessel Sailed,ZT72,6/7/13,12:10:50 AM,IN TRANSIT,CHINA CS,WI01,WI01,CHINA CASE/CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
ROOTS GROUP ARABIA CJSC,NDM457666,SR220,SR220-NR,0011945784,,Export Vessel Sailed,ZT72,5/13/13,9:28:36 AM,IN TRANSIT,S.ARAB CSL,WI01,WI01,SAUDI ARABIA CASE/CASE IH LOC,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
