Customer Name,Vehicle Identification Number,MODEL,COMMERCIAL MODEL,Internal Vehicle Number,Char. 4,Primary Status,Primary Status,Date of Primary Status,Time of Primary Status,Location,Vehicle Search Area,Plant,Storage Location,Veh. Srch Area,TIRE OPTIONS,Char. 5,Characteristic 6,Vehicle Usage
RIMBEY IMPLEMENTS LTD.,NCM456396,,L220,0011934384,,Delivered to Destination,ZT56,1/21/14,2:19:57 PM,RIMBEY,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
DAVID L & DENNIS D MEYER,NDM444229,,SV185,0011934407,,Delivered to Destination,ZT56,1/14/14,10:24:32 AM,Ridgeville Corners,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (64 OTW),,,Retail
"INA STORE, INC.",NDM444159,,SV185,0011934435,,Delivered to Destination,ZT56,1/28/14,2:19:49 PM,TUSTIN,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (64 OTW),,,Retail
RICON PTE LTD,NDM458279,,L215-NA,0012081592,,Export Vessel Sailed,ZT72,3/31/14,11:35:45 PM,IN TRANSIT,SNGAP NH L,WI01,WI01,SINGAPORE NH AGCE LOC,10x16.5 Heavy Duty (59 OTW),,,Dealer Inventory
"HENDERSHOT EQUIPMENT CO., INC.",NDM465553,,SR175,0011957052,,Delivered to Destination,ZT56,2/5/14,10:19:53 AM,STEPHENVILLE,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (64 OTW),,,Retail
"INA STORE, INC.",NDM444167,,SV185,0011962462,,Delivered to Destination,ZT56,1/22/14,11:19:48 AM,TUSTIN,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (64 OTW),,,Retail
OREGON TRUCK & TRACTOR INC.,NDM444211,,SV185,0011968566,,Delivered to Destination,ZT56,3/13/14,5:20:43 PM,SAVANNAH,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
NOBLE TRACTOR & EQUIPMENT LTD.,NDM465557,,SR175,0011968658,,Delivered to Destination,ZT56,1/24/14,5:20:20 PM,ARMSTRONG,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"ZIMMERMAN'S FARM SERVICE, INC.",NDM444219,,SV185,0011973887,,Delivered to Destination,ZT56,1/17/14,10:24:30 AM,BETHEL,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (64 OTW),,,Retail
PERTILCO S.A.,NDM458202,,L215-NA,0011975060,,Export Vessel Sailed,ZT72,4/7/14,11:39:28 AM,IN TRANSIT,ROME NH L,WI01,WI01,LOC ROME NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Dealer Inventory
CNH INDUSTRIAL LATIN AMERICA LTDA,NDM458200,,L215-NA,0011975063,,Export Vessel Sailed,ZT72,2/7/14,11:46:41 PM,IN TRANSIT,BRZ NH L,WI01,WI01,LOC BRAZIL NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Dealer Inventory
CNH INDUSTRIAL LATIN AMERICA LTDA,NDM458204,,L215-NA,0011975064,,Export Vessel Sailed,ZT72,2/7/14,11:46:28 PM,IN TRANSIT,BRZ NH L,WI01,WI01,LOC BRAZIL NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Dealer Inventory
